"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:30:00","CTA|IE","n/e","2423.71","n/e"
"01/01/2025 00:30:00 - 01/01/2025 01:00:00","CTA|IE","n/e","2582.53","n/e"
"01/01/2025 01:00:00 - 01/01/2025 01:30:00","CTA|IE","n/e","2470.07","n/e"
"01/01/2025 01:30:00 - 01/01/2025 02:00:00","CTA|IE","n/e","2634.32","n/e"
"01/01/2025 02:00:00 - 01/01/2025 02:30:00","CTA|IE","n/e","2684.78","n/e"
"01/01/2025 02:30:00 - 01/01/2025 03:00:00","CTA|IE","n/e","2503.16","n/e"
"01/01/2025 03:00:00 - 01/01/2025 03:30:00","CTA|IE","n/e","2468.49","n/e"
"01/01/2025 03:30:00 - 01/01/2025 04:00:00","CTA|IE","n/e","2442.15","n/e"
"01/01/2025 04:00:00 - 01/01/2025 04:30:00","CTA|IE","n/e","2379.73","n/e"
"01/01/2025 04:30:00 - 01/01/2025 05:00:00","CTA|IE","n/e","2289.41","n/e"
"01/01/2025 05:00:00 - 01/01/2025 05:30:00","CTA|IE","n/e","2197.55","n/e"
"01/01/2025 05:30:00 - 01/01/2025 06:00:00","CTA|IE","n/e","2148.74","n/e"
"01/01/2025 06:00:00 - 01/01/2025 06:30:00","CTA|IE","n/e","2033.25","n/e"
"01/01/2025 06:30:00 - 01/01/2025 07:00:00","CTA|IE","n/e","2125.31","n/e"
"01/01/2025 07:00:00 - 01/01/2025 07:30:00","CTA|IE","n/e","2251.41","n/e"
"01/01/2025 07:30:00 - 01/01/2025 08:00:00","CTA|IE","n/e","2456.80","n/e"
"01/01/2025 08:00:00 - 01/01/2025 08:30:00","CTA|IE","n/e","2529.02","n/e"
"01/01/2025 08:30:00 - 01/01/2025 09:00:00","CTA|IE","n/e","2501.83","n/e"
"01/01/2025 09:00:00 - 01/01/2025 09:30:00","CTA|IE","n/e","2406.63","n/e"
"01/01/2025 09:30:00 - 01/01/2025 10:00:00","CTA|IE","n/e","2296.15","n/e"
"01/01/2025 10:00:00 - 01/01/2025 10:30:00","CTA|IE","n/e","2203.61","n/e"
"01/01/2025 10:30:00 - 01/01/2025 11:00:00","CTA|IE","n/e","2248.72","n/e"
"01/01/2025 11:00:00 - 01/01/2025 11:30:00","CTA|IE","n/e","2399.38","n/e"
"01/01/2025 11:30:00 - 01/01/2025 12:00:00","CTA|IE","n/e","2431.22","n/e"
"01/01/2025 12:00:00 - 01/01/2025 12:30:00","CTA|IE","n/e","2450.82","n/e"
"01/01/2025 12:30:00 - 01/01/2025 13:00:00","CTA|IE","n/e","2467.88","n/e"
"01/01/2025 13:00:00 - 01/01/2025 13:30:00","CTA|IE","n/e","2648.45","n/e"
"01/01/2025 13:30:00 - 01/01/2025 14:00:00","CTA|IE","n/e","2733.90","n/e"
"01/01/2025 14:00:00 - 01/01/2025 14:30:00","CTA|IE","n/e","2948.76","n/e"
"01/01/2025 14:30:00 - 01/01/2025 15:00:00","CTA|IE","n/e","2952.37","n/e"
