"MTU (CET/CEST)","Area","Generation Forecast (MW)","Actual Generation (MW)","Scheduled Consumption (MW)"
"01/01/2025 15:00:00 - 01/01/2025 15:30:00","CTA|IE","n/e","2890.38","n/e"
"01/01/2025 15:30:00 - 01/01/2025 16:00:00","CTA|IE","n/e","2916.10","n/e"
"01/01/2025 16:00:00 - 01/01/2025 16:30:00","CTA|IE","n/e","2945.48","n/e"
"01/01/2025 16:30:00 - 01/01/2025 17:00:00","CTA|IE","n/e","2837.51","n/e"
"01/01/2025 17:00:00 - 01/01/2025 17:30:00","CTA|IE","n/e","2994.16","n/e"
"01/01/2025 17:30:00 - 01/01/2025 18:00:00","CTA|IE","n/e","3135.16","n/e"
"01/01/2025 18:00:00 - 01/01/2025 18:30:00","CTA|IE","n/e","3392.84","n/e"
"01/01/2025 18:30:00 - 01/01/2025 19:00:00","CTA|IE","n/e","3420.64","n/e"
"01/01/2025 19:00:00 - 01/01/2025 19:30:00","CTA|IE","n/e","3397.60","n/e"
"01/01/2025 19:30:00 - 01/01/2025 20:00:00","CTA|IE","n/e","3457.99","n/e"
"01/01/2025 20:00:00 - 01/01/2025 20:30:00","CTA|IE","n/e","3389.26","n/e"
"01/01/2025 20:30:00 - 01/01/2025 21:00:00","CTA|IE","n/e","3320.78","n/e"
"01/01/2025 21:00:00 - 01/01/2025 21:30:00","CTA|IE","n/e","3229.19","n/e"
"01/01/2025 21:30:00 - 01/01/2025 22:00:00","CTA|IE","n/e","3093.86","n/e"
"01/01/2025 22:00:00 - 01/01/2025 22:30:00","CTA|IE","n/e","3007.12","n/e"
"01/01/2025 22:30:00 - 01/01/2025 23:00:00","CTA|IE","n/e","2898.52","n/e"
"01/01/2025 23:00:00 - 01/01/2025 23:30:00","CTA|IE","n/e","2753.62","n/e"
"01/01/2025 23:30:00 - 02/01/2025 00:00:00","CTA|IE","n/e","2626.75","n/e"
"02/01/2025 00:00:00 - 02/01/2025 00:30:00","CTA|IE","n/e","2517.24","n/e"
"02/01/2025 00:30:00 - 02/01/2025 01:00:00","CTA|IE","n/e","2632.88","n/e"
"02/01/2025 01:00:00 - 02/01/2025 01:30:00","CTA|IE","n/e","2700.62","n/e"
"02/01/2025 01:30:00 - 02/01/2025 02:00:00","CTA|IE","n/e","2770.51","n/e"
"02/01/2025 02:00:00 - 02/01/2025 02:30:00","CTA|IE","n/e","2806.52","n/e"
"02/01/2025 02:30:00 - 02/01/2025 03:00:00","CTA|IE","n/e","2825.04","n/e"
"02/01/2025 03:00:00 - 02/01/2025 03:30:00","CTA|IE","n/e","2659.13","n/e"
"02/01/2025 03:30:00 - 02/01/2025 04:00:00","CTA|IE","n/e","2469.57","n/e"
"02/01/2025 04:00:00 - 02/01/2025 04:30:00","CTA|IE","n/e","2438.56","n/e"
"02/01/2025 04:30:00 - 02/01/2025 05:00:00","CTA|IE","n/e","2479.65","n/e"
"02/01/2025 05:00:00 - 02/01/2025 05:30:00","CTA|IE","n/e","2483.66","n/e"
"02/01/2025 05:30:00 - 02/01/2025 06:00:00","CTA|IE","n/e","2385.23","n/e"
"02/01/2025 06:00:00 - 02/01/2025 06:30:00","CTA|IE","n/e","2381.29","n/e"
"02/01/2025 06:30:00 - 02/01/2025 07:00:00","CTA|IE","n/e","2431.48","n/e"
"02/01/2025 07:00:00 - 02/01/2025 07:30:00","CTA|IE","n/e","2506.65","n/e"
"02/01/2025 07:30:00 - 02/01/2025 08:00:00","CTA|IE","n/e","2681.65","n/e"
"02/01/2025 08:00:00 - 02/01/2025 08:30:00","CTA|IE","n/e","2850.27","n/e"
"02/01/2025 08:30:00 - 02/01/2025 09:00:00","CTA|IE","n/e","2907.18","n/e"
"02/01/2025 09:00:00 - 02/01/2025 09:30:00","CTA|IE","n/e","2953.80","n/e"
"02/01/2025 09:30:00 - 02/01/2025 10:00:00","CTA|IE","n/e","2969.74","n/e"
"02/01/2025 10:00:00 - 02/01/2025 10:30:00","CTA|IE","n/e","3074.80","n/e"
"02/01/2025 10:30:00 - 02/01/2025 11:00:00","CTA|IE","n/e","3159.40","n/e"
"02/01/2025 11:00:00 - 02/01/2025 11:30:00","CTA|IE","n/e","3156.23","n/e"
"02/01/2025 11:30:00 - 02/01/2025 12:00:00","CTA|IE","n/e","2960.09","n/e"
"02/01/2025 12:00:00 - 02/01/2025 12:30:00","CTA|IE","n/e","2907.28","n/e"
"02/01/2025 12:30:00 - 02/01/2025 13:00:00","CTA|IE","n/e","2834.67","n/e"
"02/01/2025 13:00:00 - 02/01/2025 13:30:00","CTA|IE","n/e","2811.50","n/e"
"02/01/2025 13:30:00 - 02/01/2025 14:00:00","CTA|IE","n/e","2815.98","n/e"
"02/01/2025 14:00:00 - 02/01/2025 14:30:00","CTA|IE","n/e","N/A","n/e"
"02/01/2025 14:30:00 - 02/01/2025 15:00:00","CTA|IE","n/e","N/A","n/e"
"02/01/2025 15:00:00 - 02/01/2025 15:30:00","CTA|IE","n/e","2788.86","n/e"
"02/01/2025 15:30:00 - 02/01/2025 16:00:00","CTA|IE","n/e","2840.71","n/e"
"02/01/2025 16:00:00 - 02/01/2025 16:30:00","CTA|IE","n/e","2897.67","n/e"
"02/01/2025 16:30:00 - 02/01/2025 17:00:00","CTA|IE","n/e","2920.15","n/e"
"02/01/2025 17:00:00 - 02/01/2025 17:30:00","CTA|IE","n/e","2942.50","n/e"
"02/01/2025 17:30:00 - 02/01/2025 18:00:00","CTA|IE","n/e","3192.89","n/e"
"02/01/2025 18:00:00 - 02/01/2025 18:30:00","CTA|IE","n/e","3343.81","n/e"
"02/01/2025 18:30:00 - 02/01/2025 19:00:00","CTA|IE","n/e","3388.52","n/e"
"02/01/2025 19:00:00 - 02/01/2025 19:30:00","CTA|IE","n/e","3417.84","n/e"
"02/01/2025 19:30:00 - 02/01/2025 20:00:00","CTA|IE","n/e","3417.43","n/e"
"02/01/2025 20:00:00 - 02/01/2025 20:30:00","CTA|IE","n/e","3413.56","n/e"
"02/01/2025 20:30:00 - 02/01/2025 21:00:00","CTA|IE","n/e","3268.67","n/e"
"02/01/2025 21:00:00 - 02/01/2025 21:30:00","CTA|IE","n/e","3133.03","n/e"
"02/01/2025 21:30:00 - 02/01/2025 22:00:00","CTA|IE","n/e","3115.09","n/e"
"02/01/2025 22:00:00 - 02/01/2025 22:30:00","CTA|IE","n/e","2971.16","n/e"
"02/01/2025 22:30:00 - 02/01/2025 23:00:00","CTA|IE","n/e","2870.35","n/e"
"02/01/2025 23:00:00 - 02/01/2025 23:30:00","CTA|IE","n/e","2660.30","n/e"
"02/01/2025 23:30:00 - 03/01/2025 00:00:00","CTA|IE","n/e","2469.67","n/e"
"03/01/2025 00:00:00 - 03/01/2025 00:30:00","CTA|IE","n/e","2439.14","n/e"
"03/01/2025 00:30:00 - 03/01/2025 01:00:00","CTA|IE","n/e","2494.83","n/e"
"03/01/2025 01:00:00 - 03/01/2025 01:30:00","CTA|IE","n/e","2365.14","n/e"
"03/01/2025 01:30:00 - 03/01/2025 02:00:00","CTA|IE","n/e","2316.03","n/e"
"03/01/2025 02:00:00 - 03/01/2025 02:30:00","CTA|IE","n/e","2349.44","n/e"
"03/01/2025 02:30:00 - 03/01/2025 03:00:00","CTA|IE","n/e","2401.86","n/e"
"03/01/2025 03:00:00 - 03/01/2025 03:30:00","CTA|IE","n/e","2386.31","n/e"
"03/01/2025 03:30:00 - 03/01/2025 04:00:00","CTA|IE","n/e","2427.51","n/e"
"03/01/2025 04:00:00 - 03/01/2025 04:30:00","CTA|IE","n/e","2378.17","n/e"
"03/01/2025 04:30:00 - 03/01/2025 05:00:00","CTA|IE","n/e","2412.02","n/e"
"03/01/2025 05:00:00 - 03/01/2025 05:30:00","CTA|IE","n/e","2401.72","n/e"
"03/01/2025 05:30:00 - 03/01/2025 06:00:00","CTA|IE","n/e","2398.90","n/e"
"03/01/2025 06:00:00 - 03/01/2025 06:30:00","CTA|IE","n/e","2484.02","n/e"
"03/01/2025 06:30:00 - 03/01/2025 07:00:00","CTA|IE","n/e","2612.65","n/e"
"03/01/2025 07:00:00 - 03/01/2025 07:30:00","CTA|IE","n/e","2708.00","n/e"
"03/01/2025 07:30:00 - 03/01/2025 08:00:00","CTA|IE","n/e","2696.20","n/e"
"03/01/2025 08:00:00 - 03/01/2025 08:30:00","CTA|IE","n/e","2620.20","n/e"
"03/01/2025 08:30:00 - 03/01/2025 09:00:00","CTA|IE","n/e","2632.41","n/e"
"03/01/2025 09:00:00 - 03/01/2025 09:30:00","CTA|IE","n/e","2706.15","n/e"
"03/01/2025 09:30:00 - 03/01/2025 10:00:00","CTA|IE","n/e","2751.88","n/e"
"03/01/2025 10:00:00 - 03/01/2025 10:30:00","CTA|IE","n/e","2674.39","n/e"
"03/01/2025 10:30:00 - 03/01/2025 11:00:00","CTA|IE","n/e","2712.60","n/e"
"03/01/2025 11:00:00 - 03/01/2025 11:30:00","CTA|IE","n/e","2755.90","n/e"
"03/01/2025 11:30:00 - 03/01/2025 12:00:00","CTA|IE","n/e","2779.75","n/e"
"03/01/2025 12:00:00 - 03/01/2025 12:30:00","CTA|IE","n/e","2745.35","n/e"
"03/01/2025 12:30:00 - 03/01/2025 13:00:00","CTA|IE","n/e","2678.15","n/e"
"03/01/2025 13:00:00 - 03/01/2025 13:30:00","CTA|IE","n/e","2588.38","n/e"
"03/01/2025 13:30:00 - 03/01/2025 14:00:00","CTA|IE","n/e","2582.75","n/e"
"03/01/2025 14:00:00 - 03/01/2025 14:30:00","CTA|IE","n/e","2525.55","n/e"
"03/01/2025 14:30:00 - 03/01/2025 15:00:00","CTA|IE","n/e","2491.59","n/e"
"03/01/2025 15:00:00 - 03/01/2025 15:30:00","CTA|IE","n/e","2538.55","n/e"
"03/01/2025 15:30:00 - 03/01/2025 16:00:00","CTA|IE","n/e","2609.82","n/e"
"03/01/2025 16:00:00 - 03/01/2025 16:30:00","CTA|IE","n/e","2681.33","n/e"
"03/01/2025 16:30:00 - 03/01/2025 17:00:00","CTA|IE","n/e","2829.65","n/e"
"03/01/2025 17:00:00 - 03/01/2025 17:30:00","CTA|IE","n/e","2990.53","n/e"
"03/01/2025 17:30:00 - 03/01/2025 18:00:00","CTA|IE","n/e","3123.99","n/e"
"03/01/2025 18:00:00 - 03/01/2025 18:30:00","CTA|IE","n/e","3211.93","n/e"
"03/01/2025 18:30:00 - 03/01/2025 19:00:00","CTA|IE","n/e","3260.37","n/e"
"03/01/2025 19:00:00 - 03/01/2025 19:30:00","CTA|IE","n/e","3211.57","n/e"
"03/01/2025 19:30:00 - 03/01/2025 20:00:00","CTA|IE","n/e","3189.95","n/e"
"03/01/2025 20:00:00 - 03/01/2025 20:30:00","CTA|IE","n/e","3171.21","n/e"
"03/01/2025 20:30:00 - 03/01/2025 21:00:00","CTA|IE","n/e","3124.82","n/e"
"03/01/2025 21:00:00 - 03/01/2025 21:30:00","CTA|IE","n/e","2974.35","n/e"
"03/01/2025 21:30:00 - 03/01/2025 22:00:00","CTA|IE","n/e","2766.66","n/e"
"03/01/2025 22:00:00 - 03/01/2025 22:30:00","CTA|IE","n/e","2746.03","n/e"
"03/01/2025 22:30:00 - 03/01/2025 23:00:00","CTA|IE","n/e","2717.46","n/e"
"03/01/2025 23:00:00 - 03/01/2025 23:30:00","CTA|IE","n/e","2726.18","n/e"
"03/01/2025 23:30:00 - 04/01/2025 00:00:00","CTA|IE","n/e","2846.25","n/e"
"04/01/2025 00:00:00 - 04/01/2025 00:30:00","CTA|IE","n/e","2784.89","n/e"
"04/01/2025 00:30:00 - 04/01/2025 01:00:00","CTA|IE","n/e","2777.65","n/e"
"04/01/2025 01:00:00 - 04/01/2025 01:30:00","CTA|IE","n/e","2778.91","n/e"
"04/01/2025 01:30:00 - 04/01/2025 02:00:00","CTA|IE","n/e","2825.91","n/e"
"04/01/2025 02:00:00 - 04/01/2025 02:30:00","CTA|IE","n/e","2841.12","n/e"
"04/01/2025 02:30:00 - 04/01/2025 03:00:00","CTA|IE","n/e","2760.53","n/e"
"04/01/2025 03:00:00 - 04/01/2025 03:30:00","CTA|IE","n/e","2786.80","n/e"
"04/01/2025 03:30:00 - 04/01/2025 04:00:00","CTA|IE","n/e","2827.00","n/e"
"04/01/2025 04:00:00 - 04/01/2025 04:30:00","CTA|IE","n/e","2836.38","n/e"
"04/01/2025 04:30:00 - 04/01/2025 05:00:00","CTA|IE","n/e","2799.01","n/e"
"04/01/2025 05:00:00 - 04/01/2025 05:30:00","CTA|IE","n/e","2757.57","n/e"
"04/01/2025 05:30:00 - 04/01/2025 06:00:00","CTA|IE","n/e","2718.41","n/e"
"04/01/2025 06:00:00 - 04/01/2025 06:30:00","CTA|IE","n/e","2715.10","n/e"
"04/01/2025 06:30:00 - 04/01/2025 07:00:00","CTA|IE","n/e","2777.48","n/e"
"04/01/2025 07:00:00 - 04/01/2025 07:30:00","CTA|IE","n/e","2739.15","n/e"
"04/01/2025 07:30:00 - 04/01/2025 08:00:00","CTA|IE","n/e","2805.55","n/e"
"04/01/2025 08:00:00 - 04/01/2025 08:30:00","CTA|IE","n/e","2833.37","n/e"
"04/01/2025 08:30:00 - 04/01/2025 09:00:00","CTA|IE","n/e","2791.23","n/e"
"04/01/2025 09:00:00 - 04/01/2025 09:30:00","CTA|IE","n/e","2676.06","n/e"
"04/01/2025 09:30:00 - 04/01/2025 10:00:00","CTA|IE","n/e","2750.18","n/e"
"04/01/2025 10:00:00 - 04/01/2025 10:30:00","CTA|IE","n/e","2938.71","n/e"
"04/01/2025 10:30:00 - 04/01/2025 11:00:00","CTA|IE","n/e","3145.25","n/e"
"04/01/2025 11:00:00 - 04/01/2025 11:30:00","CTA|IE","n/e","3274.95","n/e"
"04/01/2025 11:30:00 - 04/01/2025 12:00:00","CTA|IE","n/e","3412.31","n/e"
"04/01/2025 12:00:00 - 04/01/2025 12:30:00","CTA|IE","n/e","3474.20","n/e"
"04/01/2025 12:30:00 - 04/01/2025 13:00:00","CTA|IE","n/e","3534.03","n/e"
"04/01/2025 13:00:00 - 04/01/2025 13:30:00","CTA|IE","n/e","3498.01","n/e"
"04/01/2025 13:30:00 - 04/01/2025 14:00:00","CTA|IE","n/e","3566.15","n/e"
"04/01/2025 14:00:00 - 04/01/2025 14:30:00","CTA|IE","n/e","3523.15","n/e"
"04/01/2025 14:30:00 - 04/01/2025 15:00:00","CTA|IE","n/e","3526.62","n/e"
"04/01/2025 15:00:00 - 04/01/2025 15:30:00","CTA|IE","n/e","3634.75","n/e"
"04/01/2025 15:30:00 - 04/01/2025 16:00:00","CTA|IE","n/e","3702.57","n/e"
"04/01/2025 16:00:00 - 04/01/2025 16:30:00","CTA|IE","n/e","3737.24","n/e"
"04/01/2025 16:30:00 - 04/01/2025 17:00:00","CTA|IE","n/e","3835.66","n/e"
"04/01/2025 17:00:00 - 04/01/2025 17:30:00","CTA|IE","n/e","3868.72","n/e"
"04/01/2025 17:30:00 - 04/01/2025 18:00:00","CTA|IE","n/e","4108.04","n/e"
"04/01/2025 18:00:00 - 04/01/2025 18:30:00","CTA|IE","n/e","4320.42","n/e"
"04/01/2025 18:30:00 - 04/01/2025 19:00:00","CTA|IE","n/e","4356.31","n/e"
"04/01/2025 19:00:00 - 04/01/2025 19:30:00","CTA|IE","n/e","4358.96","n/e"
"04/01/2025 19:30:00 - 04/01/2025 20:00:00","CTA|IE","n/e","4285.69","n/e"
"04/01/2025 20:00:00 - 04/01/2025 20:30:00","CTA|IE","n/e","4248.35","n/e"
"04/01/2025 20:30:00 - 04/01/2025 21:00:00","CTA|IE","n/e","4261.46","n/e"
"04/01/2025 21:00:00 - 04/01/2025 21:30:00","CTA|IE","n/e","4214.93","n/e"
"04/01/2025 21:30:00 - 04/01/2025 22:00:00","CTA|IE","n/e","4219.06","n/e"
"04/01/2025 22:00:00 - 04/01/2025 22:30:00","CTA|IE","n/e","4104.83","n/e"
"04/01/2025 22:30:00 - 04/01/2025 23:00:00","CTA|IE","n/e","3846.69","n/e"
"04/01/2025 23:00:00 - 04/01/2025 23:30:00","CTA|IE","n/e","3596.25","n/e"
"04/01/2025 23:30:00 - 05/01/2025 00:00:00","CTA|IE","n/e","3471.54","n/e"
"05/01/2025 00:00:00 - 05/01/2025 00:30:00","CTA|IE","n/e","3425.69","n/e"
"05/01/2025 00:30:00 - 05/01/2025 01:00:00","CTA|IE","n/e","3288.50","n/e"
"05/01/2025 01:00:00 - 05/01/2025 01:30:00","CTA|IE","n/e","3186.49","n/e"
"05/01/2025 01:30:00 - 05/01/2025 02:00:00","CTA|IE","n/e","3287.39","n/e"
"05/01/2025 02:00:00 - 05/01/2025 02:30:00","CTA|IE","n/e","3264.24","n/e"
"05/01/2025 02:30:00 - 05/01/2025 03:00:00","CTA|IE","n/e","3278.15","n/e"
"05/01/2025 03:00:00 - 05/01/2025 03:30:00","CTA|IE","n/e","3127.16","n/e"
"05/01/2025 03:30:00 - 05/01/2025 04:00:00","CTA|IE","n/e","3058.83","n/e"
"05/01/2025 04:00:00 - 05/01/2025 04:30:00","CTA|IE","n/e","3055.23","n/e"
"05/01/2025 04:30:00 - 05/01/2025 05:00:00","CTA|IE","n/e","3037.44","n/e"
"05/01/2025 05:00:00 - 05/01/2025 05:30:00","CTA|IE","n/e","2911.14","n/e"
"05/01/2025 05:30:00 - 05/01/2025 06:00:00","CTA|IE","n/e","2864.39","n/e"
"05/01/2025 06:00:00 - 05/01/2025 06:30:00","CTA|IE","n/e","2794.21","n/e"
"05/01/2025 06:30:00 - 05/01/2025 07:00:00","CTA|IE","n/e","2788.50","n/e"
"05/01/2025 07:00:00 - 05/01/2025 07:30:00","CTA|IE","n/e","2810.92","n/e"
"05/01/2025 07:30:00 - 05/01/2025 08:00:00","CTA|IE","n/e","2789.13","n/e"
"05/01/2025 08:00:00 - 05/01/2025 08:30:00","CTA|IE","n/e","2826.81","n/e"
"05/01/2025 08:30:00 - 05/01/2025 09:00:00","CTA|IE","n/e","2969.18","n/e"
"05/01/2025 09:00:00 - 05/01/2025 09:30:00","CTA|IE","n/e","3034.13","n/e"
"05/01/2025 09:30:00 - 05/01/2025 10:00:00","CTA|IE","n/e","3152.17","n/e"
"05/01/2025 10:00:00 - 05/01/2025 10:30:00","CTA|IE","n/e","3161.56","n/e"
"05/01/2025 10:30:00 - 05/01/2025 11:00:00","CTA|IE","n/e","3203.91","n/e"
"05/01/2025 11:00:00 - 05/01/2025 11:30:00","CTA|IE","n/e","3382.03","n/e"
"05/01/2025 11:30:00 - 05/01/2025 12:00:00","CTA|IE","n/e","3508.38","n/e"
"05/01/2025 12:00:00 - 05/01/2025 12:30:00","CTA|IE","n/e","3535.92","n/e"
"05/01/2025 12:30:00 - 05/01/2025 13:00:00","CTA|IE","n/e","3463.83","n/e"
"05/01/2025 13:00:00 - 05/01/2025 13:30:00","CTA|IE","n/e","3495.17","n/e"
"05/01/2025 13:30:00 - 05/01/2025 14:00:00","CTA|IE","n/e","3672.99","n/e"
"05/01/2025 14:00:00 - 05/01/2025 14:30:00","CTA|IE","n/e","3835.91","n/e"
"05/01/2025 14:30:00 - 05/01/2025 15:00:00","CTA|IE","n/e","3888.94","n/e"
"05/01/2025 15:00:00 - 05/01/2025 15:30:00","CTA|IE","n/e","3906.67","n/e"
"05/01/2025 15:30:00 - 05/01/2025 16:00:00","CTA|IE","n/e","3873.27","n/e"
"05/01/2025 16:00:00 - 05/01/2025 16:30:00","CTA|IE","n/e","3838.63","n/e"
"05/01/2025 16:30:00 - 05/01/2025 17:00:00","CTA|IE","n/e","3783.27","n/e"
"05/01/2025 17:00:00 - 05/01/2025 17:30:00","CTA|IE","n/e","3953.52","n/e"
"05/01/2025 17:30:00 - 05/01/2025 18:00:00","CTA|IE","n/e","4047.55","n/e"
"05/01/2025 18:00:00 - 05/01/2025 18:30:00","CTA|IE","n/e","3969.65","n/e"
"05/01/2025 18:30:00 - 05/01/2025 19:00:00","CTA|IE","n/e","3912.98","n/e"
"05/01/2025 19:00:00 - 05/01/2025 19:30:00","CTA|IE","n/e","3883.77","n/e"
"05/01/2025 19:30:00 - 05/01/2025 20:00:00","CTA|IE","n/e","3787.35","n/e"
"05/01/2025 20:00:00 - 05/01/2025 20:30:00","CTA|IE","n/e","3693.21","n/e"
"05/01/2025 20:30:00 - 05/01/2025 21:00:00","CTA|IE","n/e","3660.16","n/e"
"05/01/2025 21:00:00 - 05/01/2025 21:30:00","CTA|IE","n/e","3668.40","n/e"
"05/01/2025 21:30:00 - 05/01/2025 22:00:00","CTA|IE","n/e","3469.38","n/e"
"05/01/2025 22:00:00 - 05/01/2025 22:30:00","CTA|IE","n/e","3393.32","n/e"
"05/01/2025 22:30:00 - 05/01/2025 23:00:00","CTA|IE","n/e","3364.80","n/e"
"05/01/2025 23:00:00 - 05/01/2025 23:30:00","CTA|IE","n/e","3222.03","n/e"
"05/01/2025 23:30:00 - 06/01/2025 00:00:00","CTA|IE","n/e","2952.33","n/e"
"06/01/2025 00:00:00 - 06/01/2025 00:30:00","CTA|IE","n/e","2886.79","n/e"
"06/01/2025 00:30:00 - 06/01/2025 01:00:00","CTA|IE","n/e","2933.84","n/e"
"06/01/2025 01:00:00 - 06/01/2025 01:30:00","CTA|IE","n/e","2774.49","n/e"
"06/01/2025 01:30:00 - 06/01/2025 02:00:00","CTA|IE","n/e","2731.39","n/e"
"06/01/2025 02:00:00 - 06/01/2025 02:30:00","CTA|IE","n/e","2639.79","n/e"
"06/01/2025 02:30:00 - 06/01/2025 03:00:00","CTA|IE","n/e","2583.85","n/e"
"06/01/2025 03:00:00 - 06/01/2025 03:30:00","CTA|IE","n/e","2526.01","n/e"
"06/01/2025 03:30:00 - 06/01/2025 04:00:00","CTA|IE","n/e","2539.40","n/e"
"06/01/2025 04:00:00 - 06/01/2025 04:30:00","CTA|IE","n/e","2508.24","n/e"
"06/01/2025 04:30:00 - 06/01/2025 05:00:00","CTA|IE","n/e","2443.18","n/e"
"06/01/2025 05:00:00 - 06/01/2025 05:30:00","CTA|IE","n/e","2485.33","n/e"
"06/01/2025 05:30:00 - 06/01/2025 06:00:00","CTA|IE","n/e","2560.61","n/e"
"06/01/2025 06:00:00 - 06/01/2025 06:30:00","CTA|IE","n/e","2600.62","n/e"
"06/01/2025 06:30:00 - 06/01/2025 07:00:00","CTA|IE","n/e","2617.85","n/e"
"06/01/2025 07:00:00 - 06/01/2025 07:30:00","CTA|IE","n/e","2844.78","n/e"
"06/01/2025 07:30:00 - 06/01/2025 08:00:00","CTA|IE","n/e","3179.91","n/e"
"06/01/2025 08:00:00 - 06/01/2025 08:30:00","CTA|IE","n/e","3224.49","n/e"
"06/01/2025 08:30:00 - 06/01/2025 09:00:00","CTA|IE","n/e","3455.17","n/e"
"06/01/2025 09:00:00 - 06/01/2025 09:30:00","CTA|IE","n/e","3566.21","n/e"
"06/01/2025 09:30:00 - 06/01/2025 10:00:00","CTA|IE","n/e","3647.36","n/e"
"06/01/2025 10:00:00 - 06/01/2025 10:30:00","CTA|IE","n/e","3495.03","n/e"
"06/01/2025 10:30:00 - 06/01/2025 11:00:00","CTA|IE","n/e","3528.55","n/e"
"06/01/2025 11:00:00 - 06/01/2025 11:30:00","CTA|IE","n/e","3603.14","n/e"
"06/01/2025 11:30:00 - 06/01/2025 12:00:00","CTA|IE","n/e","3446.41","n/e"
"06/01/2025 12:00:00 - 06/01/2025 12:30:00","CTA|IE","n/e","3477.81","n/e"
"06/01/2025 12:30:00 - 06/01/2025 13:00:00","CTA|IE","n/e","3678.53","n/e"
"06/01/2025 13:00:00 - 06/01/2025 13:30:00","CTA|IE","n/e","3713.66","n/e"
"06/01/2025 13:30:00 - 06/01/2025 14:00:00","CTA|IE","n/e","3788.89","n/e"
"06/01/2025 14:00:00 - 06/01/2025 14:30:00","CTA|IE","n/e","3972.11","n/e"
"06/01/2025 14:30:00 - 06/01/2025 15:00:00","CTA|IE","n/e","4113.31","n/e"
"06/01/2025 15:00:00 - 06/01/2025 15:30:00","CTA|IE","n/e","4074.03","n/e"
"06/01/2025 15:30:00 - 06/01/2025 16:00:00","CTA|IE","n/e","4084.19","n/e"
"06/01/2025 16:00:00 - 06/01/2025 16:30:00","CTA|IE","n/e","3962.88","n/e"
"06/01/2025 16:30:00 - 06/01/2025 17:00:00","CTA|IE","n/e","3997.74","n/e"
"06/01/2025 17:00:00 - 06/01/2025 17:30:00","CTA|IE","n/e","3996.74","n/e"
"06/01/2025 17:30:00 - 06/01/2025 18:00:00","CTA|IE","n/e","4225.91","n/e"
"06/01/2025 18:00:00 - 06/01/2025 18:30:00","CTA|IE","n/e","4430.35","n/e"
