"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|GB","BZN|IE(SEM)","767.30"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|GB","BZN|IE(SEM)","642.81"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|GB","BZN|IE(SEM)","592.86"
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|GB","BZN|IE(SEM)","473.97"
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|GB","BZN|IE(SEM)","515.44"
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|GB","BZN|IE(SEM)","552.27"
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|GB","BZN|IE(SEM)","572.50"
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|GB","BZN|IE(SEM)","285.71"
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|GB","BZN|IE(SEM)","301.73"
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|GB","BZN|IE(SEM)","471.56"
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|GB","BZN|IE(SEM)","686.21"
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|GB","BZN|IE(SEM)","828.96"
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|GB","BZN|IE(SEM)","858.63"
