"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|GB","BZN|IE(SEM)","786.64"
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|GB","BZN|IE(SEM)","579.08"
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|GB","BZN|IE(SEM)","669.50"
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|GB","BZN|IE(SEM)","835.52"
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|GB","BZN|IE(SEM)","960.57"
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|GB","BZN|IE(SEM)","978.37"
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|GB","BZN|IE(SEM)","978.40"
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|GB","BZN|IE(SEM)","978.38"
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|GB","BZN|IE(SEM)","978.31"
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|GB","BZN|IE(SEM)","978.33"
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|GB","BZN|IE(SEM)","978.22"
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|GB","BZN|IE(SEM)","923.31"
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|GB","BZN|IE(SEM)","618.76"
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|GB","BZN|IE(SEM)","456.17"
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|GB","BZN|IE(SEM)","735.13"
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|GB","BZN|IE(SEM)","870.97"
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|GB","BZN|IE(SEM)","838.37"
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|GB","BZN|IE(SEM)","826.27"
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|GB","BZN|IE(SEM)","639.41"
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|GB","BZN|IE(SEM)","589.15"
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|GB","BZN|IE(SEM)","834.90"
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|GB","BZN|IE(SEM)","965.77"
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|GB","BZN|IE(SEM)","978.71"
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|GB","BZN|IE(SEM)","978.44"
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|GB","BZN|IE(SEM)","978.50"
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|GB","BZN|IE(SEM)","977.57"
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|GB","BZN|IE(SEM)","978.39"
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|GB","BZN|IE(SEM)","978.53"
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|GB","BZN|IE(SEM)","978.49"
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|GB","BZN|IE(SEM)","978.57"
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|GB","BZN|IE(SEM)","978.48"
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|GB","BZN|IE(SEM)","978.53"
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|GB","BZN|IE(SEM)","978.61"
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|GB","BZN|IE(SEM)","978.47"
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|GB","BZN|IE(SEM)","978.64"
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|GB","BZN|IE(SEM)","941.34"
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|GB","BZN|IE(SEM)","978.46"
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|GB","BZN|IE(SEM)","978.58"
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|GB","BZN|IE(SEM)","960.72"
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|GB","BZN|IE(SEM)","896.40"
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|GB","BZN|IE(SEM)","896.36"
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|GB","BZN|IE(SEM)","740.09"
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|GB","BZN|IE(SEM)","517.10"
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|GB","BZN|IE(SEM)","717.14"
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|GB","BZN|IE(SEM)","966.91"
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|GB","BZN|IE(SEM)","978.62"
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|GB","BZN|IE(SEM)","978.58"
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|GB","BZN|IE(SEM)","978.60"
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|GB","BZN|IE(SEM)","978.67"
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|GB","BZN|IE(SEM)","978.48"
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|GB","BZN|IE(SEM)","978.55"
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|GB","BZN|IE(SEM)","978.52"
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|GB","BZN|IE(SEM)","978.60"
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|GB","BZN|IE(SEM)","978.55"
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|GB","BZN|IE(SEM)","978.49"
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|GB","BZN|IE(SEM)","978.57"
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|GB","BZN|IE(SEM)","978.48"
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|GB","BZN|IE(SEM)","978.60"
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|GB","BZN|IE(SEM)","978.57"
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|GB","BZN|IE(SEM)","978.59"
"04/01/2025 01:00:00 - 04/01/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 01:00:00 - 04/01/2025 02:00:00","BZN|GB","BZN|IE(SEM)","977.46"
"04/01/2025 02:00:00 - 04/01/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 02:00:00 - 04/01/2025 03:00:00","BZN|GB","BZN|IE(SEM)","912.76"
"04/01/2025 03:00:00 - 04/01/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 03:00:00 - 04/01/2025 04:00:00","BZN|GB","BZN|IE(SEM)","656.73"
"04/01/2025 04:00:00 - 04/01/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 04:00:00 - 04/01/2025 05:00:00","BZN|GB","BZN|IE(SEM)","654.30"
"04/01/2025 05:00:00 - 04/01/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 05:00:00 - 04/01/2025 06:00:00","BZN|GB","BZN|IE(SEM)","654.25"
"04/01/2025 06:00:00 - 04/01/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 06:00:00 - 04/01/2025 07:00:00","BZN|GB","BZN|IE(SEM)","654.34"
"04/01/2025 07:00:00 - 04/01/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 07:00:00 - 04/01/2025 08:00:00","BZN|GB","BZN|IE(SEM)","540.01"
"04/01/2025 08:00:00 - 04/01/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 08:00:00 - 04/01/2025 09:00:00","BZN|GB","BZN|IE(SEM)","452.16"
"04/01/2025 09:00:00 - 04/01/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 09:00:00 - 04/01/2025 10:00:00","BZN|GB","BZN|IE(SEM)","813.70"
"04/01/2025 10:00:00 - 04/01/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 10:00:00 - 04/01/2025 11:00:00","BZN|GB","BZN|IE(SEM)","978.42"
"04/01/2025 11:00:00 - 04/01/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 11:00:00 - 04/01/2025 12:00:00","BZN|GB","BZN|IE(SEM)","977.97"
"04/01/2025 12:00:00 - 04/01/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 12:00:00 - 04/01/2025 13:00:00","BZN|GB","BZN|IE(SEM)","977.97"
"04/01/2025 13:00:00 - 04/01/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 13:00:00 - 04/01/2025 14:00:00","BZN|GB","BZN|IE(SEM)","977.97"
"04/01/2025 14:00:00 - 04/01/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 14:00:00 - 04/01/2025 15:00:00","BZN|GB","BZN|IE(SEM)","978.18"
"04/01/2025 15:00:00 - 04/01/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 15:00:00 - 04/01/2025 16:00:00","BZN|GB","BZN|IE(SEM)","978.10"
"04/01/2025 16:00:00 - 04/01/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 16:00:00 - 04/01/2025 17:00:00","BZN|GB","BZN|IE(SEM)","978.18"
"04/01/2025 17:00:00 - 04/01/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 17:00:00 - 04/01/2025 18:00:00","BZN|GB","BZN|IE(SEM)","956.89"
"04/01/2025 18:00:00 - 04/01/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 18:00:00 - 04/01/2025 19:00:00","BZN|GB","BZN|IE(SEM)","978.15"
"04/01/2025 19:00:00 - 04/01/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 19:00:00 - 04/01/2025 20:00:00","BZN|GB","BZN|IE(SEM)","924.94"
"04/01/2025 20:00:00 - 04/01/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 20:00:00 - 04/01/2025 21:00:00","BZN|GB","BZN|IE(SEM)","663.77"
"04/01/2025 21:00:00 - 04/01/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 21:00:00 - 04/01/2025 22:00:00","BZN|GB","BZN|IE(SEM)","418.96"
"04/01/2025 22:00:00 - 04/01/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 22:00:00 - 04/01/2025 23:00:00","BZN|GB","BZN|IE(SEM)","312.12"
"04/01/2025 23:00:00 - 05/01/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"04/01/2025 23:00:00 - 05/01/2025 00:00:00","BZN|GB","BZN|IE(SEM)","288.33"
"05/01/2025 00:00:00 - 05/01/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 00:00:00 - 05/01/2025 01:00:00","BZN|GB","BZN|IE(SEM)","457.95"
"05/01/2025 01:00:00 - 05/01/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 01:00:00 - 05/01/2025 02:00:00","BZN|GB","BZN|IE(SEM)","469.50"
"05/01/2025 02:00:00 - 05/01/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 02:00:00 - 05/01/2025 03:00:00","BZN|GB","BZN|IE(SEM)","251.63"
"05/01/2025 03:00:00 - 05/01/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 03:00:00 - 05/01/2025 04:00:00","BZN|GB","BZN|IE(SEM)","115.56"
"05/01/2025 04:00:00 - 05/01/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 04:00:00 - 05/01/2025 05:00:00","BZN|GB","BZN|IE(SEM)","231.52"
"05/01/2025 05:00:00 - 05/01/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 05:00:00 - 05/01/2025 06:00:00","BZN|GB","BZN|IE(SEM)","346.34"
"05/01/2025 06:00:00 - 05/01/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 06:00:00 - 05/01/2025 07:00:00","BZN|GB","BZN|IE(SEM)","314.02"
"05/01/2025 07:00:00 - 05/01/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 07:00:00 - 05/01/2025 08:00:00","BZN|GB","BZN|IE(SEM)","324.23"
"05/01/2025 08:00:00 - 05/01/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 08:00:00 - 05/01/2025 09:00:00","BZN|GB","BZN|IE(SEM)","262.72"
"05/01/2025 09:00:00 - 05/01/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 09:00:00 - 05/01/2025 10:00:00","BZN|GB","BZN|IE(SEM)","197.52"
"05/01/2025 10:00:00 - 05/01/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 10:00:00 - 05/01/2025 11:00:00","BZN|GB","BZN|IE(SEM)","110.33"
"05/01/2025 11:00:00 - 05/01/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 11:00:00 - 05/01/2025 12:00:00","BZN|GB","BZN|IE(SEM)","326.38"
"05/01/2025 12:00:00 - 05/01/2025 13:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 12:00:00 - 05/01/2025 13:00:00","BZN|GB","BZN|IE(SEM)","559.89"
"05/01/2025 13:00:00 - 05/01/2025 14:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 13:00:00 - 05/01/2025 14:00:00","BZN|GB","BZN|IE(SEM)","704.38"
"05/01/2025 14:00:00 - 05/01/2025 15:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 14:00:00 - 05/01/2025 15:00:00","BZN|GB","BZN|IE(SEM)","575.17"
"05/01/2025 15:00:00 - 05/01/2025 16:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 15:00:00 - 05/01/2025 16:00:00","BZN|GB","BZN|IE(SEM)","514.94"
"05/01/2025 16:00:00 - 05/01/2025 17:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 16:00:00 - 05/01/2025 17:00:00","BZN|GB","BZN|IE(SEM)","543.67"
"05/01/2025 17:00:00 - 05/01/2025 18:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 17:00:00 - 05/01/2025 18:00:00","BZN|GB","BZN|IE(SEM)","612.18"
"05/01/2025 18:00:00 - 05/01/2025 19:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 18:00:00 - 05/01/2025 19:00:00","BZN|GB","BZN|IE(SEM)","722.43"
"05/01/2025 19:00:00 - 05/01/2025 20:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 19:00:00 - 05/01/2025 20:00:00","BZN|GB","BZN|IE(SEM)","855.29"
"05/01/2025 20:00:00 - 05/01/2025 21:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 20:00:00 - 05/01/2025 21:00:00","BZN|GB","BZN|IE(SEM)","785.29"
"05/01/2025 21:00:00 - 05/01/2025 22:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 21:00:00 - 05/01/2025 22:00:00","BZN|GB","BZN|IE(SEM)","743.39"
"05/01/2025 22:00:00 - 05/01/2025 23:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 22:00:00 - 05/01/2025 23:00:00","BZN|GB","BZN|IE(SEM)","735.14"
"05/01/2025 23:00:00 - 06/01/2025 00:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"05/01/2025 23:00:00 - 06/01/2025 00:00:00","BZN|GB","BZN|IE(SEM)","557.57"
"06/01/2025 00:00:00 - 06/01/2025 01:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 00:00:00 - 06/01/2025 01:00:00","BZN|GB","BZN|IE(SEM)","637.79"
"06/01/2025 01:00:00 - 06/01/2025 02:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 01:00:00 - 06/01/2025 02:00:00","BZN|GB","BZN|IE(SEM)","798.27"
"06/01/2025 02:00:00 - 06/01/2025 03:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 02:00:00 - 06/01/2025 03:00:00","BZN|GB","BZN|IE(SEM)","829.15"
"06/01/2025 03:00:00 - 06/01/2025 04:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 03:00:00 - 06/01/2025 04:00:00","BZN|GB","BZN|IE(SEM)","829.08"
"06/01/2025 04:00:00 - 06/01/2025 05:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 04:00:00 - 06/01/2025 05:00:00","BZN|GB","BZN|IE(SEM)","829.19"
"06/01/2025 05:00:00 - 06/01/2025 06:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 05:00:00 - 06/01/2025 06:00:00","BZN|GB","BZN|IE(SEM)","829.22"
"06/01/2025 06:00:00 - 06/01/2025 07:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 06:00:00 - 06/01/2025 07:00:00","BZN|GB","BZN|IE(SEM)","826.66"
"06/01/2025 07:00:00 - 06/01/2025 08:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 07:00:00 - 06/01/2025 08:00:00","BZN|GB","BZN|IE(SEM)","631.47"
"06/01/2025 08:00:00 - 06/01/2025 09:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 08:00:00 - 06/01/2025 09:00:00","BZN|GB","BZN|IE(SEM)","666.15"
"06/01/2025 09:00:00 - 06/01/2025 10:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 09:00:00 - 06/01/2025 10:00:00","BZN|GB","BZN|IE(SEM)","832.47"
"06/01/2025 10:00:00 - 06/01/2025 11:00:00","BZN|IE(SEM)","BZN|GB","0.00"
"06/01/2025 10:00:00 - 06/01/2025 11:00:00","BZN|GB","BZN|IE(SEM)","975.15"
"06/01/2025 11:00:00 - 06/01/2025 12:00:00","BZN|IE(SEM)","BZN|GB","0.00"
