"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2025 12:00 - 02/01/2025 12:30","CTA|NIE","1067.00","N/A"
"02/01/2025 12:30 - 02/01/2025 13:00","CTA|NIE","1083.00","N/A"
"02/01/2025 13:00 - 02/01/2025 13:30","CTA|NIE","1087.00","N/A"
"02/01/2025 13:30 - 02/01/2025 14:00","CTA|NIE","1090.00","N/A"
"02/01/2025 14:00 - 02/01/2025 14:30","CTA|NIE","1096.00","N/A"
"02/01/2025 14:30 - 02/01/2025 15:00","CTA|NIE","1104.00","N/A"
"02/01/2025 15:00 - 02/01/2025 15:30","CTA|NIE","1105.00","N/A"
"02/01/2025 15:30 - 02/01/2025 16:00","CTA|NIE","1087.00","N/A"
"02/01/2025 16:00 - 02/01/2025 16:30","CTA|NIE","1091.00","N/A"
"02/01/2025 16:30 - 02/01/2025 17:00","CTA|NIE","1091.00","N/A"
"02/01/2025 17:00 - 02/01/2025 17:30","CTA|NIE","1098.00","N/A"
"02/01/2025 17:30 - 02/01/2025 18:00","CTA|NIE","1110.00","N/A"
"02/01/2025 18:00 - 02/01/2025 18:30","CTA|NIE","1146.00","N/A"
"02/01/2025 18:30 - 02/01/2025 19:00","CTA|NIE","1205.00","N/A"
"02/01/2025 19:00 - 02/01/2025 19:30","CTA|NIE","1293.00","N/A"
"02/01/2025 19:30 - 02/01/2025 20:00","CTA|NIE","1330.00","N/A"
"02/01/2025 20:00 - 02/01/2025 20:30","CTA|NIE","1300.00","N/A"
"02/01/2025 20:30 - 02/01/2025 21:00","CTA|NIE","1249.00","N/A"
"02/01/2025 21:00 - 02/01/2025 21:30","CTA|NIE","1204.00","N/A"
"02/01/2025 21:30 - 02/01/2025 22:00","CTA|NIE","1164.00","N/A"
"02/01/2025 22:00 - 02/01/2025 22:30","CTA|NIE","1120.00","N/A"
"02/01/2025 22:30 - 02/01/2025 23:00","CTA|NIE","1079.00","N/A"
"02/01/2025 23:00 - 02/01/2025 23:30","CTA|NIE","1034.00","N/A"
"02/01/2025 23:30 - 03/01/2025 00:00","CTA|NIE","984.00","N/A"
"03/01/2025 00:00 - 03/01/2025 00:30","CTA|NIE","939.00","N/A"
"03/01/2025 00:30 - 03/01/2025 01:00","CTA|NIE","881.00","N/A"
"03/01/2025 01:00 - 03/01/2025 01:30","CTA|NIE","N/A","N/A"
"03/01/2025 01:30 - 03/01/2025 02:00","CTA|NIE","N/A","N/A"
"03/01/2025 02:00 - 03/01/2025 02:30","CTA|NIE","713.00","N/A"
"03/01/2025 02:30 - 03/01/2025 03:00","CTA|NIE","676.00","N/A"
"03/01/2025 03:00 - 03/01/2025 03:30","CTA|NIE","645.00","N/A"
"03/01/2025 03:30 - 03/01/2025 04:00","CTA|NIE","657.00","N/A"
"03/01/2025 04:00 - 03/01/2025 04:30","CTA|NIE","637.00","N/A"
"03/01/2025 04:30 - 03/01/2025 05:00","CTA|NIE","627.00","N/A"
"03/01/2025 05:00 - 03/01/2025 05:30","CTA|NIE","615.00","N/A"
"03/01/2025 05:30 - 03/01/2025 06:00","CTA|NIE","605.00","N/A"
"03/01/2025 06:00 - 03/01/2025 06:30","CTA|NIE","598.00","N/A"
"03/01/2025 06:30 - 03/01/2025 07:00","CTA|NIE","595.00","N/A"
"03/01/2025 07:00 - 03/01/2025 07:30","CTA|NIE","598.00","N/A"
"03/01/2025 07:30 - 03/01/2025 08:00","CTA|NIE","609.00","N/A"
"03/01/2025 08:00 - 03/01/2025 08:30","CTA|NIE","656.00","N/A"
"03/01/2025 08:30 - 03/01/2025 09:00","CTA|NIE","712.00","N/A"
"03/01/2025 09:00 - 03/01/2025 09:30","CTA|NIE","784.00","N/A"
"03/01/2025 09:30 - 03/01/2025 10:00","CTA|NIE","857.00","N/A"
"03/01/2025 10:00 - 03/01/2025 10:30","CTA|NIE","921.00","N/A"
"03/01/2025 10:30 - 03/01/2025 11:00","CTA|NIE","974.00","N/A"
"03/01/2025 11:00 - 03/01/2025 11:30","CTA|NIE","1027.00","N/A"
"03/01/2025 11:30 - 03/01/2025 12:00","CTA|NIE","1069.00","N/A"
"03/01/2025 12:00 - 03/01/2025 12:30","CTA|NIE","N/A","N/A"
"03/01/2025 12:30 - 03/01/2025 13:00","CTA|NIE","N/A","N/A"
"03/01/2025 13:00 - 03/01/2025 13:30","CTA|NIE","1107.00","N/A"
"03/01/2025 13:30 - 03/01/2025 14:00","CTA|NIE","1107.00","N/A"
"03/01/2025 14:00 - 03/01/2025 14:30","CTA|NIE","1099.00","N/A"
"03/01/2025 14:30 - 03/01/2025 15:00","CTA|NIE","1103.00","N/A"
"03/01/2025 15:00 - 03/01/2025 15:30","CTA|NIE","1097.00","N/A"
"03/01/2025 15:30 - 03/01/2025 16:00","CTA|NIE","1082.00","N/A"
"03/01/2025 16:00 - 03/01/2025 16:30","CTA|NIE","1077.00","N/A"
"03/01/2025 16:30 - 03/01/2025 17:00","CTA|NIE","1066.00","N/A"
"03/01/2025 17:00 - 03/01/2025 17:30","CTA|NIE","1069.00","N/A"
"03/01/2025 17:30 - 03/01/2025 18:00","CTA|NIE","1081.00","N/A"
"03/01/2025 18:00 - 03/01/2025 18:30","CTA|NIE","1105.00","N/A"
"03/01/2025 18:30 - 03/01/2025 19:00","CTA|NIE","1171.00","N/A"
"03/01/2025 19:00 - 03/01/2025 19:30","CTA|NIE","1255.00","N/A"
"03/01/2025 19:30 - 03/01/2025 20:00","CTA|NIE","1278.00","N/A"
"03/01/2025 20:00 - 03/01/2025 20:30","CTA|NIE","1249.00","N/A"
"03/01/2025 20:30 - 03/01/2025 21:00","CTA|NIE","1202.00","N/A"
"03/01/2025 21:00 - 03/01/2025 21:30","CTA|NIE","1162.00","N/A"
"03/01/2025 21:30 - 03/01/2025 22:00","CTA|NIE","1123.00","N/A"
"03/01/2025 22:00 - 03/01/2025 22:30","CTA|NIE","1080.00","N/A"
"03/01/2025 22:30 - 03/01/2025 23:00","CTA|NIE","1033.00","N/A"
"03/01/2025 23:00 - 03/01/2025 23:30","CTA|NIE","995.00","N/A"
"03/01/2025 23:30 - 04/01/2025 00:00","CTA|NIE","951.00","N/A"
"04/01/2025 00:00 - 04/01/2025 00:30","CTA|NIE","909.00","N/A"
"04/01/2025 00:30 - 04/01/2025 01:00","CTA|NIE","863.00","N/A"
"04/01/2025 01:00 - 04/01/2025 01:30","CTA|NIE","809.00","N/A"
"04/01/2025 01:30 - 04/01/2025 02:00","CTA|NIE","748.00","N/A"
"04/01/2025 02:00 - 04/01/2025 02:30","CTA|NIE","708.00","N/A"
"04/01/2025 02:30 - 04/01/2025 03:00","CTA|NIE","667.00","N/A"
"04/01/2025 03:00 - 04/01/2025 03:30","CTA|NIE","638.00","N/A"
"04/01/2025 03:30 - 04/01/2025 04:00","CTA|NIE","657.00","N/A"
"04/01/2025 04:00 - 04/01/2025 04:30","CTA|NIE","636.00","N/A"
"04/01/2025 04:30 - 04/01/2025 05:00","CTA|NIE","628.00","N/A"
"04/01/2025 05:00 - 04/01/2025 05:30","CTA|NIE","615.00","N/A"
"04/01/2025 05:30 - 04/01/2025 06:00","CTA|NIE","600.00","N/A"
"04/01/2025 06:00 - 04/01/2025 06:30","CTA|NIE","597.00","N/A"
"04/01/2025 06:30 - 04/01/2025 07:00","CTA|NIE","600.00","N/A"
"04/01/2025 07:00 - 04/01/2025 07:30","CTA|NIE","606.00","N/A"
"04/01/2025 07:30 - 04/01/2025 08:00","CTA|NIE","612.00","N/A"
"04/01/2025 08:00 - 04/01/2025 08:30","CTA|NIE","637.00","N/A"
"04/01/2025 08:30 - 04/01/2025 09:00","CTA|NIE","667.00","N/A"
"04/01/2025 09:00 - 04/01/2025 09:30","CTA|NIE","705.00","N/A"
"04/01/2025 09:30 - 04/01/2025 10:00","CTA|NIE","752.00","N/A"
"04/01/2025 10:00 - 04/01/2025 10:30","CTA|NIE","807.00","N/A"
"04/01/2025 10:30 - 04/01/2025 11:00","CTA|NIE","836.00","N/A"
"04/01/2025 11:00 - 04/01/2025 11:30","CTA|NIE","902.00","N/A"
"04/01/2025 11:30 - 04/01/2025 12:00","CTA|NIE","955.00","N/A"
"04/01/2025 12:00 - 04/01/2025 12:30","CTA|NIE","991.00","N/A"
"04/01/2025 12:30 - 04/01/2025 13:00","CTA|NIE","1026.00","N/A"
"04/01/2025 13:00 - 04/01/2025 13:30","CTA|NIE","1044.00","N/A"
"04/01/2025 13:30 - 04/01/2025 14:00","CTA|NIE","1057.00","N/A"
"04/01/2025 14:00 - 04/01/2025 14:30","CTA|NIE","1068.00","N/A"
"04/01/2025 14:30 - 04/01/2025 15:00","CTA|NIE","1085.00","N/A"
"04/01/2025 15:00 - 04/01/2025 15:30","CTA|NIE","1080.00","N/A"
"04/01/2025 15:30 - 04/01/2025 16:00","CTA|NIE","1070.00","N/A"
"04/01/2025 16:00 - 04/01/2025 16:30","CTA|NIE","1056.00","N/A"
"04/01/2025 16:30 - 04/01/2025 17:00","CTA|NIE","1053.00","N/A"
"04/01/2025 17:00 - 04/01/2025 17:30","CTA|NIE","1055.00","N/A"
"04/01/2025 17:30 - 04/01/2025 18:00","CTA|NIE","1065.00","N/A"
"04/01/2025 18:00 - 04/01/2025 18:30","CTA|NIE","1094.00","N/A"
"04/01/2025 18:30 - 04/01/2025 19:00","CTA|NIE","1155.00","N/A"
"04/01/2025 19:00 - 04/01/2025 19:30","CTA|NIE","1229.00","N/A"
"04/01/2025 19:30 - 04/01/2025 20:00","CTA|NIE","1260.00","N/A"
"04/01/2025 20:00 - 04/01/2025 20:30","CTA|NIE","1235.00","N/A"
"04/01/2025 20:30 - 04/01/2025 21:00","CTA|NIE","1196.00","N/A"
"04/01/2025 21:00 - 04/01/2025 21:30","CTA|NIE","1143.00","N/A"
"04/01/2025 21:30 - 04/01/2025 22:00","CTA|NIE","1091.00","N/A"
"04/01/2025 22:00 - 04/01/2025 22:30","CTA|NIE","1048.00","N/A"
"04/01/2025 22:30 - 04/01/2025 23:00","CTA|NIE","1007.00","N/A"
"04/01/2025 23:00 - 04/01/2025 23:30","CTA|NIE","967.00","N/A"
"04/01/2025 23:30 - 05/01/2025 00:00","CTA|NIE","917.00","N/A"
"05/01/2025 00:00 - 05/01/2025 00:30","CTA|NIE","878.00","N/A"
"05/01/2025 00:30 - 05/01/2025 01:00","CTA|NIE","831.00","N/A"
"05/01/2025 01:00 - 05/01/2025 01:30","CTA|NIE","777.00","N/A"
"05/01/2025 01:30 - 05/01/2025 02:00","CTA|NIE","730.00","N/A"
"05/01/2025 02:00 - 05/01/2025 02:30","CTA|NIE","684.00","N/A"
"05/01/2025 02:30 - 05/01/2025 03:00","CTA|NIE","653.00","N/A"
"05/01/2025 03:00 - 05/01/2025 03:30","CTA|NIE","626.00","N/A"
"05/01/2025 03:30 - 05/01/2025 04:00","CTA|NIE","633.00","N/A"
"05/01/2025 04:00 - 05/01/2025 04:30","CTA|NIE","611.00","N/A"
"05/01/2025 04:30 - 05/01/2025 05:00","CTA|NIE","596.00","N/A"
"05/01/2025 05:00 - 05/01/2025 05:30","CTA|NIE","576.00","N/A"
"05/01/2025 05:30 - 05/01/2025 06:00","CTA|NIE","560.00","N/A"
"05/01/2025 06:00 - 05/01/2025 06:30","CTA|NIE","547.00","N/A"
"05/01/2025 06:30 - 05/01/2025 07:00","CTA|NIE","538.00","N/A"
"05/01/2025 07:00 - 05/01/2025 07:30","CTA|NIE","535.00","N/A"
"05/01/2025 07:30 - 05/01/2025 08:00","CTA|NIE","535.00","N/A"
"05/01/2025 08:00 - 05/01/2025 08:30","CTA|NIE","547.00","N/A"
"05/01/2025 08:30 - 05/01/2025 09:00","CTA|NIE","574.00","N/A"
"05/01/2025 09:00 - 05/01/2025 09:30","CTA|NIE","611.00","N/A"
"05/01/2025 09:30 - 05/01/2025 10:00","CTA|NIE","639.00","N/A"
"05/01/2025 10:00 - 05/01/2025 10:30","CTA|NIE","671.00","N/A"
"05/01/2025 10:30 - 05/01/2025 11:00","CTA|NIE","708.00","N/A"
"05/01/2025 11:00 - 05/01/2025 11:30","CTA|NIE","748.00","N/A"
"05/01/2025 11:30 - 05/01/2025 12:00","CTA|NIE","813.00","N/A"
"05/01/2025 12:00 - 05/01/2025 12:30","CTA|NIE","861.00","N/A"
"05/01/2025 12:30 - 05/01/2025 13:00","CTA|NIE","908.00","N/A"
"05/01/2025 13:00 - 05/01/2025 13:30","CTA|NIE","937.00","N/A"
"05/01/2025 13:30 - 05/01/2025 14:00","CTA|NIE","968.00","N/A"
"05/01/2025 14:00 - 05/01/2025 14:30","CTA|NIE","N/A","N/A"
"05/01/2025 14:30 - 05/01/2025 15:00","CTA|NIE","N/A","N/A"
"05/01/2025 15:00 - 05/01/2025 15:30","CTA|NIE","1051.00","N/A"
"05/01/2025 15:30 - 05/01/2025 16:00","CTA|NIE","1053.00","N/A"
"05/01/2025 16:00 - 05/01/2025 16:30","CTA|NIE","1030.00","N/A"
"05/01/2025 16:30 - 05/01/2025 17:00","CTA|NIE","1023.00","N/A"
"05/01/2025 17:00 - 05/01/2025 17:30","CTA|NIE","1024.00","N/A"
"05/01/2025 17:30 - 05/01/2025 18:00","CTA|NIE","1034.00","N/A"
"05/01/2025 18:00 - 05/01/2025 18:30","CTA|NIE","1066.00","N/A"
"05/01/2025 18:30 - 05/01/2025 19:00","CTA|NIE","1127.00","N/A"
"05/01/2025 19:00 - 05/01/2025 19:30","CTA|NIE","1169.00","N/A"
"05/01/2025 19:30 - 05/01/2025 20:00","CTA|NIE","1193.00","N/A"
"05/01/2025 20:00 - 05/01/2025 20:30","CTA|NIE","1163.00","N/A"
"05/01/2025 20:30 - 05/01/2025 21:00","CTA|NIE","1112.00","N/A"
"05/01/2025 21:00 - 05/01/2025 21:30","CTA|NIE","1087.00","N/A"
"05/01/2025 21:30 - 05/01/2025 22:00","CTA|NIE","1052.00","N/A"
"05/01/2025 22:00 - 05/01/2025 22:30","CTA|NIE","1011.00","N/A"
"05/01/2025 22:30 - 05/01/2025 23:00","CTA|NIE","972.00","N/A"
"05/01/2025 23:00 - 05/01/2025 23:30","CTA|NIE","936.00","N/A"
"05/01/2025 23:30 - 06/01/2025 00:00","CTA|NIE","886.00","N/A"
"06/01/2025 00:00 - 06/01/2025 00:30","CTA|NIE","832.00","N/A"
"06/01/2025 00:30 - 06/01/2025 01:00","CTA|NIE","780.00","N/A"
"06/01/2025 01:00 - 06/01/2025 01:30","CTA|NIE","726.00","N/A"
"06/01/2025 01:30 - 06/01/2025 02:00","CTA|NIE","679.00","N/A"
"06/01/2025 02:00 - 06/01/2025 02:30","CTA|NIE","645.00","N/A"
"06/01/2025 02:30 - 06/01/2025 03:00","CTA|NIE","616.00","N/A"
"06/01/2025 03:00 - 06/01/2025 03:30","CTA|NIE","599.00","N/A"
"06/01/2025 03:30 - 06/01/2025 04:00","CTA|NIE","615.00","N/A"
"06/01/2025 04:00 - 06/01/2025 04:30","CTA|NIE","604.00","N/A"
"06/01/2025 04:30 - 06/01/2025 05:00","CTA|NIE","592.00","N/A"
"06/01/2025 05:00 - 06/01/2025 05:30","CTA|NIE","583.00","N/A"
"06/01/2025 05:30 - 06/01/2025 06:00","CTA|NIE","576.00","N/A"
"06/01/2025 06:00 - 06/01/2025 06:30","CTA|NIE","568.00","N/A"
"06/01/2025 06:30 - 06/01/2025 07:00","CTA|NIE","573.00","N/A"
"06/01/2025 07:00 - 06/01/2025 07:30","CTA|NIE","589.00","N/A"
"06/01/2025 07:30 - 06/01/2025 08:00","CTA|NIE","607.00","N/A"
"06/01/2025 08:00 - 06/01/2025 08:30","CTA|NIE","664.00","N/A"
"06/01/2025 08:30 - 06/01/2025 09:00","CTA|NIE","752.00","N/A"
"06/01/2025 09:00 - 06/01/2025 09:30","CTA|NIE","866.00","N/A"
"06/01/2025 09:30 - 06/01/2025 10:00","CTA|NIE","994.00","N/A"
"06/01/2025 10:00 - 06/01/2025 10:30","CTA|NIE","1087.00","N/A"
"06/01/2025 10:30 - 06/01/2025 11:00","CTA|NIE","1127.00","N/A"
"06/01/2025 11:00 - 06/01/2025 11:30","CTA|NIE","1158.00","N/A"
"06/01/2025 11:30 - 06/01/2025 12:00","CTA|NIE","1178.00","N/A"
"06/01/2025 12:00 - 06/01/2025 12:30","CTA|NIE","1186.00","N/A"
"06/01/2025 12:30 - 06/01/2025 13:00","CTA|NIE","1186.00","N/A"
"06/01/2025 13:00 - 06/01/2025 13:30","CTA|NIE","1206.00","N/A"
"06/01/2025 13:30 - 06/01/2025 14:00","CTA|NIE","1200.00","N/A"
"06/01/2025 14:00 - 06/01/2025 14:30","CTA|NIE","1195.00","N/A"
"06/01/2025 14:30 - 06/01/2025 15:00","CTA|NIE","1195.00","N/A"
"06/01/2025 15:00 - 06/01/2025 15:30","CTA|NIE","1210.00","N/A"
"06/01/2025 15:30 - 06/01/2025 16:00","CTA|NIE","1175.00","N/A"
"06/01/2025 16:00 - 06/01/2025 16:30","CTA|NIE","1149.00","N/A"
"06/01/2025 16:30 - 06/01/2025 17:00","CTA|NIE","1140.00","N/A"
"06/01/2025 17:00 - 06/01/2025 17:30","CTA|NIE","1148.00","N/A"
"06/01/2025 17:30 - 06/01/2025 18:00","CTA|NIE","1175.00","N/A"
"06/01/2025 18:00 - 06/01/2025 18:30","CTA|NIE","1198.00","N/A"
"06/01/2025 18:30 - 06/01/2025 19:00","CTA|NIE","1278.00","N/A"
"06/01/2025 19:00 - 06/01/2025 19:30","CTA|NIE","1350.00","N/A"
"06/01/2025 19:30 - 06/01/2025 20:00","CTA|NIE","1374.00","N/A"
"06/01/2025 20:00 - 06/01/2025 20:30","CTA|NIE","1338.00","N/A"
"06/01/2025 20:30 - 06/01/2025 21:00","CTA|NIE","1293.00","N/A"
"06/01/2025 21:00 - 06/01/2025 21:30","CTA|NIE","1245.00","N/A"
"06/01/2025 21:30 - 06/01/2025 22:00","CTA|NIE","1205.00","N/A"
"06/01/2025 22:00 - 06/01/2025 22:30","CTA|NIE","1169.00","N/A"
"06/01/2025 22:30 - 06/01/2025 23:00","CTA|NIE","1138.00","N/A"
"06/01/2025 23:00 - 06/01/2025 23:30","CTA|NIE","1095.00","N/A"
"06/01/2025 23:30 - 07/01/2025 00:00","CTA|NIE","1032.00","N/A"
"07/01/2025 00:00 - 07/01/2025 00:30","CTA|NIE","971.00","N/A"
"07/01/2025 00:30 - 07/01/2025 01:00","CTA|NIE","904.00","N/A"
"07/01/2025 01:00 - 07/01/2025 01:30","CTA|NIE","829.00","N/A"
"07/01/2025 01:30 - 07/01/2025 02:00","CTA|NIE","761.00","N/A"
"07/01/2025 02:00 - 07/01/2025 02:30","CTA|NIE","723.00","N/A"
"07/01/2025 02:30 - 07/01/2025 03:00","CTA|NIE","692.00","N/A"
"07/01/2025 03:00 - 07/01/2025 03:30","CTA|NIE","661.00","N/A"
"07/01/2025 03:30 - 07/01/2025 04:00","CTA|NIE","689.00","N/A"
"07/01/2025 04:00 - 07/01/2025 04:30","CTA|NIE","683.00","N/A"
"07/01/2025 04:30 - 07/01/2025 05:00","CTA|NIE","685.00","N/A"
"07/01/2025 05:00 - 07/01/2025 05:30","CTA|NIE","660.00","N/A"
"07/01/2025 05:30 - 07/01/2025 06:00","CTA|NIE","648.00","N/A"
"07/01/2025 06:00 - 07/01/2025 06:30","CTA|NIE","634.00","N/A"
"07/01/2025 06:30 - 07/01/2025 07:00","CTA|NIE","638.00","N/A"
"07/01/2025 07:00 - 07/01/2025 07:30","CTA|NIE","N/A","N/A"
"07/01/2025 07:30 - 07/01/2025 08:00","CTA|NIE","N/A","N/A"
"07/01/2025 08:00 - 07/01/2025 08:30","CTA|NIE","726.00","N/A"
"07/01/2025 08:30 - 07/01/2025 09:00","CTA|NIE","810.00","N/A"
"07/01/2025 09:00 - 07/01/2025 09:30","CTA|NIE","925.00","N/A"
"07/01/2025 09:30 - 07/01/2025 10:00","CTA|NIE","1054.00","N/A"
"07/01/2025 10:00 - 07/01/2025 10:30","CTA|NIE","1139.00","N/A"
"07/01/2025 10:30 - 07/01/2025 11:00","CTA|NIE","1169.00","N/A"
"07/01/2025 11:00 - 07/01/2025 11:30","CTA|NIE","1196.00","N/A"
"07/01/2025 11:30 - 07/01/2025 12:00","CTA|NIE","1250.00","N/A"
"07/01/2025 12:00 - 07/01/2025 12:30","CTA|NIE","1256.00","N/A"
"07/01/2025 12:30 - 07/01/2025 13:00","CTA|NIE","1258.00","N/A"
"07/01/2025 13:00 - 07/01/2025 13:30","CTA|NIE","1263.00","N/A"
"07/01/2025 13:30 - 07/01/2025 14:00","CTA|NIE","1261.00","N/A"
"07/01/2025 14:00 - 07/01/2025 14:30","CTA|NIE","1256.00","N/A"
"07/01/2025 14:30 - 07/01/2025 15:00","CTA|NIE","1251.00","N/A"
"07/01/2025 15:00 - 07/01/2025 15:30","CTA|NIE","1229.00","N/A"
"07/01/2025 15:30 - 07/01/2025 16:00","CTA|NIE","1183.00","N/A"
"07/01/2025 16:00 - 07/01/2025 16:30","CTA|NIE","1181.00","N/A"
"07/01/2025 16:30 - 07/01/2025 17:00","CTA|NIE","1202.00","N/A"
"07/01/2025 17:00 - 07/01/2025 17:30","CTA|NIE","1203.00","N/A"
"07/01/2025 17:30 - 07/01/2025 18:00","CTA|NIE","1225.00","N/A"
"07/01/2025 18:00 - 07/01/2025 18:30","CTA|NIE","1246.00","N/A"
"07/01/2025 18:30 - 07/01/2025 19:00","CTA|NIE","1317.00","N/A"
"07/01/2025 19:00 - 07/01/2025 19:30","CTA|NIE","N/A","N/A"
