"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2025 00:00 - 01/01/2025 00:30","CTA|NIE","654.00","N/A"
"01/01/2025 00:30 - 01/01/2025 01:00","CTA|NIE","624.00","N/A"
"01/01/2025 01:00 - 01/01/2025 01:30","CTA|NIE","591.00","N/A"
"01/01/2025 01:30 - 01/01/2025 02:00","CTA|NIE","569.00","N/A"
"01/01/2025 02:00 - 01/01/2025 02:30","CTA|NIE","526.00","N/A"
"01/01/2025 02:30 - 01/01/2025 03:00","CTA|NIE","503.00","N/A"
"01/01/2025 03:00 - 01/01/2025 03:30","CTA|NIE","494.00","N/A"
"01/01/2025 03:30 - 01/01/2025 04:00","CTA|NIE","501.00","N/A"
"01/01/2025 04:00 - 01/01/2025 04:30","CTA|NIE","483.00","N/A"
"01/01/2025 04:30 - 01/01/2025 05:00","CTA|NIE","467.00","N/A"
"01/01/2025 05:00 - 01/01/2025 05:30","CTA|NIE","442.00","N/A"
"01/01/2025 05:30 - 01/01/2025 06:00","CTA|NIE","425.00","N/A"
"01/01/2025 06:00 - 01/01/2025 06:30","CTA|NIE","421.00","N/A"
"01/01/2025 06:30 - 01/01/2025 07:00","CTA|NIE","420.00","N/A"
"01/01/2025 07:00 - 01/01/2025 07:30","CTA|NIE","425.00","N/A"
"01/01/2025 07:30 - 01/01/2025 08:00","CTA|NIE","431.00","N/A"
"01/01/2025 08:00 - 01/01/2025 08:30","CTA|NIE","454.00","N/A"
"01/01/2025 08:30 - 01/01/2025 09:00","CTA|NIE","479.00","N/A"
"01/01/2025 09:00 - 01/01/2025 09:30","CTA|NIE","509.00","N/A"
"01/01/2025 09:30 - 01/01/2025 10:00","CTA|NIE","533.00","N/A"
"01/01/2025 10:00 - 01/01/2025 10:30","CTA|NIE","561.00","N/A"
"01/01/2025 10:30 - 01/01/2025 11:00","CTA|NIE","573.00","N/A"
"01/01/2025 11:00 - 01/01/2025 11:30","CTA|NIE","606.00","N/A"
"01/01/2025 11:30 - 01/01/2025 12:00","CTA|NIE","643.00","N/A"
"01/01/2025 12:00 - 01/01/2025 12:30","CTA|NIE","680.00","N/A"
"01/01/2025 12:30 - 01/01/2025 13:00","CTA|NIE","729.00","N/A"
"01/01/2025 13:00 - 01/01/2025 13:30","CTA|NIE","750.00","N/A"
"01/01/2025 13:30 - 01/01/2025 14:00","CTA|NIE","788.00","N/A"
"01/01/2025 14:00 - 01/01/2025 14:30","CTA|NIE","832.00","N/A"
"01/01/2025 14:30 - 01/01/2025 15:00","CTA|NIE","878.00","N/A"
"01/01/2025 15:00 - 01/01/2025 15:30","CTA|NIE","907.00","N/A"
"01/01/2025 15:30 - 01/01/2025 16:00","CTA|NIE","912.00","N/A"
"01/01/2025 16:00 - 01/01/2025 16:30","CTA|NIE","903.00","N/A"
"01/01/2025 16:30 - 01/01/2025 17:00","CTA|NIE","905.00","N/A"
"01/01/2025 17:00 - 01/01/2025 17:30","CTA|NIE","916.00","N/A"
"01/01/2025 17:30 - 01/01/2025 18:00","CTA|NIE","925.00","N/A"
"01/01/2025 18:00 - 01/01/2025 18:30","CTA|NIE","947.00","N/A"
"01/01/2025 18:30 - 01/01/2025 19:00","CTA|NIE","1006.00","N/A"
"01/01/2025 19:00 - 01/01/2025 19:30","CTA|NIE","1083.00","N/A"
"01/01/2025 19:30 - 01/01/2025 20:00","CTA|NIE","1097.00","N/A"
"01/01/2025 20:00 - 01/01/2025 20:30","CTA|NIE","1075.00","N/A"
"01/01/2025 20:30 - 01/01/2025 21:00","CTA|NIE","1029.00","N/A"
"01/01/2025 21:00 - 01/01/2025 21:30","CTA|NIE","996.00","N/A"
"01/01/2025 21:30 - 01/01/2025 22:00","CTA|NIE","967.00","N/A"
"01/01/2025 22:00 - 01/01/2025 22:30","CTA|NIE","935.00","N/A"
"01/01/2025 22:30 - 01/01/2025 23:00","CTA|NIE","897.00","N/A"
"01/01/2025 23:00 - 01/01/2025 23:30","CTA|NIE","880.00","N/A"
"01/01/2025 23:30 - 02/01/2025 00:00","CTA|NIE","841.00","N/A"
"02/01/2025 00:00 - 02/01/2025 00:30","CTA|NIE","811.00","N/A"
"02/01/2025 00:30 - 02/01/2025 01:00","CTA|NIE","767.00","N/A"
"02/01/2025 01:00 - 02/01/2025 01:30","CTA|NIE","723.00","N/A"
"02/01/2025 01:30 - 02/01/2025 02:00","CTA|NIE","679.00","N/A"
"02/01/2025 02:00 - 02/01/2025 02:30","CTA|NIE","644.00","N/A"
"02/01/2025 02:30 - 02/01/2025 03:00","CTA|NIE","618.00","N/A"
"02/01/2025 03:00 - 02/01/2025 03:30","CTA|NIE","601.00","N/A"
"02/01/2025 03:30 - 02/01/2025 04:00","CTA|NIE","614.00","N/A"
"02/01/2025 04:00 - 02/01/2025 04:30","CTA|NIE","601.00","N/A"
"02/01/2025 04:30 - 02/01/2025 05:00","CTA|NIE","592.00","N/A"
"02/01/2025 05:00 - 02/01/2025 05:30","CTA|NIE","580.00","N/A"
"02/01/2025 05:30 - 02/01/2025 06:00","CTA|NIE","575.00","N/A"
"02/01/2025 06:00 - 02/01/2025 06:30","CTA|NIE","566.00","N/A"
"02/01/2025 06:30 - 02/01/2025 07:00","CTA|NIE","570.00","N/A"
"02/01/2025 07:00 - 02/01/2025 07:30","CTA|NIE","579.00","N/A"
"02/01/2025 07:30 - 02/01/2025 08:00","CTA|NIE","597.00","N/A"
"02/01/2025 08:00 - 02/01/2025 08:30","CTA|NIE","638.00","N/A"
"02/01/2025 08:30 - 02/01/2025 09:00","CTA|NIE","700.00","N/A"
"02/01/2025 09:00 - 02/01/2025 09:30","CTA|NIE","762.00","N/A"
"02/01/2025 09:30 - 02/01/2025 10:00","CTA|NIE","834.00","N/A"
"02/01/2025 10:00 - 02/01/2025 10:30","CTA|NIE","N/A","N/A"
"02/01/2025 10:30 - 02/01/2025 11:00","CTA|NIE","N/A","N/A"
"02/01/2025 11:00 - 02/01/2025 11:30","CTA|NIE","1005.00","N/A"
"02/01/2025 11:30 - 02/01/2025 12:00","CTA|NIE","1043.00","N/A"
